test_id,category,title,suite_result,method,endpoint,status_code,date_et,evidence_file,sha256
1,CATEGORY 1: HAPPY PATH TESTS (Core Functionality),List All Issues (Default Behavior),PASS,GET,/repos/{owner}/{repo}/issues,200,2025-12-10 02:14 ET,evidence/raw/TEST-001_GET_repos_owner_repo_issues_200_20251210_0214ET.json,d7dbb8855dcd56bd782584f30fcbe3489ecd5a671c5794a2d49badc1d84e8a38
2,CATEGORY 1: HAPPY PATH TESTS (Core Functionality),List Open Issues (Explicit Parameter),PASS,GET,/repos/{owner}/{repo}/issues?state=open,200,2025-12-10 20:26 ET,evidence/raw/TEST-002_GET_repos_owner_repo_issues_state_open_200_20251210_2026ET.json,2bc9cdea333b351f8896ca64b22d53990aa7fc23b3d983757e88c94fcf0e3209
3,CATEGORY 1: HAPPY PATH TESTS (Core Functionality),List Closed Issues,PASS,GET,/repos/{owner}/{repo}/issues?state=closed,200,2025-12-10 20:30 ET,evidence/raw/TEST-003_GET_repos_owner_repo_issues_state_closed_200_20251210_2030ET.json,cbec1d4fd10ccb24f26c8a7de32bbad4d2b9b5d375898ff25459ae3906c41c2b
4,CATEGORY 1: HAPPY PATH TESTS (Core Functionality),List All Issues (Open + Closed),PASS,GET,/repos/{owner}/{repo}/issues?state=all,200,2025-12-10 20:56 ET,evidence/raw/TEST-004_GET_unknown_200_20251210_2056ET.json,9788613bc0473fe4aeef473040b343a8c8dbc09f0a7df599baeeb46e6dfc1909
5,CATEGORY 1: HAPPY PATH TESTS (Core Functionality),Get Single Issue by Number,PASS,GET,/repos/{owner}/{repo}/issues/{issue_number},200,2025-12-10 21:01 ET,evidence/raw/TEST-005_GET_repos_owner_repo_issues_1_200_20251210_2101ET.json,c8f0914cc8641077c8e271204f5006a4c22d1be22f4c615ed40c12d8832bb651
6,CATEGORY 1: HAPPY PATH TESTS (Core Functionality),Create Issue (Minimal Fields),PASS,POST,/repos/{owner}/{repo}/issues,201,2025-12-12 00:42 ET,evidence/raw/TEST-006_POST_repos_owner_github-api-testing_issues_201_20251212_0042ET.json,a7fcb366c4b725e588ebc9c97f07fed9d47106c5791ca44218bfec4a8ec97c9e
7,CATEGORY 1: HAPPY PATH TESTS (Core Functionality),Create Issue (All Optional Fields),PASS,POST,/repos/{owner}/{repo}/issues,201,2025-12-13 01:20 ET,evidence/raw/TEST-007_POST_repos_owner_repo_issues_201_20251213_0120ET.json,dd412fc7eaa80a0ac83b6ac4b92a5cb0699a39186c2899fa4d972f00824cb11e
8,CATEGORY 1: HAPPY PATH TESTS (Core Functionality),Update Issue Title,PASS,PATCH,/repos/{owner}/{repo}/issues/{issue_number},200,2025-12-13 02:16 ET,evidence/raw/TEST-008_PATCH_repos_owner_repo_issues_1_200_20251213_0216ET.json,d93f1b85485aa576c2880fbea6da3b9bdf6fcdfed906d8339502cf1f3ec869da
9,CATEGORY 1: HAPPY PATH TESTS (Core Functionality),Close Issue with Reason,PASS,PATCH,/repos/{owner}/{repo}/issues/{issue_number},200,2025-12-13 02:27 ET,evidence/raw/TEST-009_PATCH_repos_owner_repo_issues_1_200_20251213_0227ET.json,2a6a9f043a1f254e71da830b2d0e21d9da12b29e154c6005c5371209a053c9f2
10,CATEGORY 1: HAPPY PATH TESTS (Core Functionality),List Comments on Issue,PASS,GET,/repos/{owner}/{repo}/issues/{issue_number}/comments,200,2025-12-13 02:31 ET,evidence/raw/TEST-010_GET_repos_owner_repo_issues_1_comments_200_20251213_0231ET.json,2b715793f7bb94f1f0c3744ac18dcec27eb39773b7adfbe9466b0e4170a791f1
11,CATEGORY 2: PARAMETER VALIDATION TESTS,Pagination - Limit Results,PASS,GET,/repos/{owner}/{repo}/issues?per_page=10,200,2025-12-14 20:39 ET,evidence/raw/TEST-011_GET_repos_owner_repo_issues_per_page_10_200_20251214_2039ET.json,bdd62ae434d6bb571f5758143e8187ab0a6f581a4684dbffd5cf8076480404ac
12,CATEGORY 2: PARAMETER VALIDATION TESTS,Pagination - Second Page,PASS,GET,/repos/{owner}/{repo}/issues?per_page=5&page=2,200,2025-12-14 20:46 ET,evidence/raw/TEST-012_GET_unknown_200_20251214_2046ET.json,37277c0cb9116f2ea2764cac4d11d2693e1698c45abd3f109fe8b9ee9bd17d0c
